📺央视频道,#genre#
CHC动作电影,http://z.b.bkpcp.top/m.php?id=dzdy
CHC动作电影,https://stream.freetv.fun/2f2e29b8759a2458730dc1f3686024472691952a50e787fe075944d0cb17f36e.ctv
CHC动作电影,http://eastscreen.tv/ooooo.php?id=chcdz
CHC家庭影院,http://z.b.bkpcp.top/m.php?id=chcjtyy
CHC家庭影院,http://gat.bkpcp.top/ymg.php?id=jtyy
CHC家庭影院,https://mgtv.ottiptv.cc/migu/644368373.m3u8?migutoken=02f6073a65cfa4b76b8198be1bbc271ad8399a5a7eba28b6d2b5a1fd269162f4e5d78202d5515f6a21832743887f1e19f9c93e34c348532e77d8b083727e41097fb2ee9c27f1606dea802ad3d5
CHC家庭影院,http://sport.pendy.dpdns.org/migu/644368373?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CHC家庭影院,http://eastscreen.tv/ooooo.php?id=chcjt
CHC影迷电影,http://gslbmgsplive.miguvideo.com/migu/kailu/chcymdy/51/20250415/index.m3u8?msisdn=20251016180100d1a7e35902c44b4ca0638cf72e755c2f&mdspid=&spid=699004&netType=0&sid=5910022176&pid=2028597139&timestamp=20251016180100&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=952383261&ParentNodeID=-99&assertID=5910022176&client_ip=106.13.250.88&SecurityKey=20251016180100&promotionId=&mvid=5900006704&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=ece7b953919e5ec0812e515ac8564cf6&ddCalcu=6efcece14726b05985c3a951195ee52e1c80
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
重温经典,http://gslbmgsplive.miguvideo.com/migu/kailu/cctvlaogushi/50/20231109/index.m3u8?msisdn=20251016180054dc261fdc5c094a199928f21aedbaeb1b&mdspid=&spid=699004&netType=0&sid=5910022002&pid=2028597139&timestamp=20251016180054&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=884121956&ParentNodeID=-99&assertID=5910022002&client_ip=106.13.250.88&SecurityKey=20251016180054&promotionId=&mvid=5900006372&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=68e26388ada8d2b1302f239754211087&ddCalcu=7688e0e11241602348587a9d3a28fd220b31

💰付费频道,#genre#
文化精品,https://hls-gateway.vpstv.net/streams/708832.m3u8
电视指南,https://cc06.tv12.xyz/39.m3u8
世界地理,http://sh.lnott.top:880/dx72.m3u8
世界地理,https://cc06.tv12.xyz/104.m3u8
兵器科技,http://sh.lnott.top:880/dx81.m3u8
兵器科技,https://hls-gateway.vpstv.net/streams/708856.m3u8
央视台球,http://sh.lnott.top:880/dx82.m3u8
央视台球,https://hls-gateway.vpstv.net/streams/708855.m3u8
怀旧剧场,http://sh.lnott.top:880/dx95.m3u8
怀旧剧场,https://cc06.tv12.xyz/52.m3u8
怀旧剧场,https://hls-gateway.vpstv.net/streams/708853.m3u8
第一剧场,https://hls-gateway.vpstv.net/streams/708862.m3u8
第一剧场,http://tl.061833.xyz/tl/null-6
第一剧场,https://100.061833.xyz/stream/mytv/null-6/stream.m3u8?uid=2190244325&u=hahayy&p=29624e2e4c4ccee26ed8f3e0ca1012ea57a8f2191be6149f632250f7036119cc
风云剧场,http://sh.lnott.top:880/dx94.m3u8
风云剧场,https://hls-gateway.vpstv.net/streams/708861.m3u8
风云足球,http://sh.lnott.top:880/dx71.m3u8
风云足球,https://hls-gateway.vpstv.net/streams/708859.m3u8
风云足球,https://cc06.tv12.xyz/41.m3u8
风云音乐,http://sh.lnott.top:880/dx73.m3u8
风云音乐,https://hls-gateway.vpstv.net/streams/708858.m3u8
老故事,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
